ID,Date,City,Street,SKU,Units,Cost_Per_Unit
POS-00023,2023-12-21,Butwal-Chowk,Traffic Chowk E,Solar-Battery,6,291.0520374861138
POS-00024,2023-03-30,Butwal-Chowk,Traffic Chowk E,4K-TV,7,4618.229742896175
POS-00025,2023-10-11,Biratnagar-Main,Hospital Rd,Drone-HD,8,1386.9729876266044
POS-00026,2023-04-28,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,3,2988.1781544667424
POS-00027,2023-05-01,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,4,2196.936163687559
POS-00028,2023-03-16,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,1,2790.303360115282
POS-00029,2023-05-02,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,3,1862.2683413745274
POS-00030,2023-05-31,Pokhara-Lakeside,Baidam Street 6,VR-Headset,8,4443.822466316408
POS-00031,2023-11-12,Biratnagar-Main,Hospital Rd,4K-TV,1,310.7140620459882
POS-00032,2023-01-29,Kathmandu-DurbarMarg,King's Way 101,4K-TV,7,1958.2679513406174
POS-00033,2023-01-08,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,1,1442.0121487277834
POS-00034,2023-08-05,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,7,2138.508141982759
POS-00035,2023-05-18,Biratnagar-Main,Hospital Rd,VR-Headset,8,2378.400736590315
POS-00036,2023-01-03,Biratnagar-Main,Hospital Rd,Drone-HD,6,3743.446916920905
POS-00037,2023-10-09,Butwal-Chowk,Traffic Chowk E,Smart-Hub,3,1065.726693004225
POS-00038,2023-12-17,Biratnagar-Main,Hospital Rd,Solar-Battery,9,4456.957412551162
POS-00039,2023-12-13,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,1,1227.8169653355674
POS-00040,2023-03-04,Lalitpur-Patan,Pulchowk Rd,Drone-HD,9,-12.71463845783704
POS-00041,2023-07-25,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,2,2761.2295256640446
POS-00042,2023-09-25,Biratnagar-Main,Hospital Rd,Solar-Battery,7,405.87235947244386
POS-00043,2023-04-20,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,6,4293.622029412517
POS-00044,2023-04-24,Butwal-Chowk,Traffic Chowk E,Gaming-Console,2,982.0529739418328
POS-00045,2023-08-27,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,1,2005.4768413332945
POS-00046,2023-05-04,Biratnagar-Main,Hospital Rd,4K-TV,5,377.55189888566406
POS-00047,2023-03-15,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,7,4249.810859629908
POS-00048,2023-03-22,Biratnagar-Main,Hospital Rd,Gaming-Console,6,4779.530843817228
POS-00049,2023-01-09,Biratnagar-Main,Hospital Rd,Gaming-Console,8,4680.2568113774205
POS-00050,2023-01-17,Lalitpur-Patan,Pulchowk Rd,Drone-HD,3,4438.653939565505
POS-00051,2023-09-26,Butwal-Chowk,Traffic Chowk E,Smart-Hub,5,2511.640410915772
POS-00052,2023-12-06,Lalitpur-Patan,Pulchowk Rd,4K-TV,3,1099.17549381717
POS-00053,2023-05-28,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,1,1458.7627386652011
POS-00054,2023-03-11,Butwal-Chowk,Traffic Chowk E,Gaming-Console,2,822.3345059746274
POS-00055,2023-04-17,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,8,2554.6630251331917
POS-00056,2023-12-12,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,9,2363.9054433727197
POS-00057,2023-05-15,Biratnagar-Main,Hospital Rd,4K-TV,8,1564.3918192380636
POS-00058,2023-03-24,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,7,3760.4617431198235
POS-00059,2023-06-25,Biratnagar-Main,Hospital Rd,Smart-Hub,3,2685.2467116745715
POS-00060,2023-02-12,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,4,4559.548988580133
POS-00061,2023-04-03,Butwal-Chowk,Traffic Chowk E,Solar-Battery,6,1373.8916802928748
POS-00062,2023-06-20,Pokhara-Lakeside,Baidam Street 6,VR-Headset,2,3952.4833658959537
POS-00063,2023-08-28,Butwal-Chowk,Traffic Chowk E,Drone-HD,2,1183.4697165664513
POS-00064,2023-01-05,Biratnagar-Main,Hospital Rd,VR-Headset,9,2479.2056278207
POS-00065,2023-10-22,Biratnagar-Main,Hospital Rd,4K-TV,5,4225.123542989537
POS-00066,2023-10-01,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,3,3071.419926384994
POS-00067,2023-09-26,Butwal-Chowk,Traffic Chowk E,VR-Headset,8,1991.6221093381232
POS-00068,2023-08-22,Biratnagar-Main,Hospital Rd,Gaming-Console,4,2912.5354760129676
POS-00069,2023-06-10,Butwal-Chowk,Traffic Chowk E,VR-Headset,1,651.3026871874965
POS-00070,2023-11-09,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,2,1845.8936564876074
POS-00071,2023-01-27,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,5,3633.0706744590484
POS-00072,2023-09-11,Butwal-Chowk,Traffic Chowk E,Drone-HD,8,2368.9046462820056
POS-00073,2023-02-17,Butwal-Chowk,Traffic Chowk E,4K-TV,4,1086.2970551379428
POS-00074,2023-02-09,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,2,3514.8346746273664
POS-00075,2023-06-04,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,3,2539.0931305335034
POS-00076,2023-11-17,Lalitpur-Patan,Pulchowk Rd,4K-TV,7,3241.6785442719492
POS-00077,2023-08-26,Lalitpur-Patan,Pulchowk Rd,VR-Headset,2,4792.623235169762
POS-00078,2023-04-03,Biratnagar-Main,Hospital Rd,Gaming-Console,9,3749.5737142796797
POS-00079,2023-05-13,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,8,2035.5479364763155
POS-00080,2023-12-25,Biratnagar-Main,Hospital Rd,VR-Headset,8,3323.838172549759
POS-00081,2023-07-02,Butwal-Chowk,Traffic Chowk E,Gaming-Console,8,902.9207084982446
POS-00082,2023-11-24,Butwal-Chowk,Traffic Chowk E,Smart-Hub,8,682.5263582857701
POS-00083,2023-03-26,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,2,453.6454181298802
POS-00084,2023-05-04,Pokhara-Lakeside,Baidam Street 6,4K-TV,4,3525.037097721305
POS-00085,2023-02-12,Kathmandu-DurbarMarg,King's Way 101,4K-TV,5,1791.6836979359277
POS-00086,2023-02-23,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,4,3239.5402366188628
POS-00087,2023-09-30,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,7,312.59685225033974
POS-00088,2023-08-09,Biratnagar-Main,Hospital Rd,Solar-Battery,3,650.0707498014699
POS-00089,2023-01-06,Butwal-Chowk,Traffic Chowk E,Gaming-Console,8,3111.764295433357
POS-00090,2023-10-28,Biratnagar-Main,Hospital Rd,Solar-Battery,8,1113.2560712842626
POS-00091,2023-04-26,Pokhara-Lakeside,Baidam Street 6,Drone-HD,6,-90.49510480010633
POS-00092,2023-09-10,Kathmandu-DurbarMarg,King's Way 101,4K-TV,4,334.7666692161672
POS-00093,2023-07-22,Pokhara-Lakeside,Baidam Street 6,Gaming-Console,4,376.3935732615574
POS-00094,2023-03-06,Biratnagar-Main,Hospital Rd,Gaming-Console,3,326.1396047663142
POS-00095,2023-09-22,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,1,3843.3341872011883
POS-00096,2023-04-06,Pokhara-Lakeside,Baidam Street 6,Drone-HD,7,808.9806607250315
POS-00097,2023-06-19,Butwal-Chowk,Traffic Chowk E,4K-TV,6,3967.929134711456
POS-00098,2023-05-29,Butwal-Chowk,Traffic Chowk E,Drone-HD,9,2865.082030561922
POS-00099,2023-06-05,Butwal-Chowk,Traffic Chowk E,VR-Headset,1,4200.407174619246
POS-00100,2023-07-06,Biratnagar-Main,Hospital Rd,4K-TV,4,1644.6354941068535
POS-00101,2023-05-14,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,7,3618.5329460281723
POS-00102,2023-05-19,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,7,1232.2968540310594
POS-00103,2023-08-16,Butwal-Chowk,Traffic Chowk E,Smart-Hub,3,2751.257601782008
POS-00104,2023-07-22,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,7,3804.4453059983225
POS-00105,2023-03-14,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,2,2745.343322225523
POS-00106,2023-01-21,Butwal-Chowk,Traffic Chowk E,4K-TV,3,4079.8574173693805
POS-00107,2023-01-25,Biratnagar-Main,Hospital Rd,Smart-Hub,5,243.77179624286242
POS-00108,2023-10-09,Lalitpur-Patan,Pulchowk Rd,VR-Headset,9,1010.1768659289501
POS-00109,2023-06-28,Pokhara-Lakeside,Baidam Street 6,4K-TV,5,3536.4766893543992
POS-00110,2023-06-20,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,4,2007.8219608319937
POS-00111,2023-10-13,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,6,4767.557155043087
POS-00112,2023-02-18,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,6,2245.805642150045
POS-00113,2023-12-05,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,6,4157.920220471544
POS-00114,2023-08-04,Biratnagar-Main,Hospital Rd,4K-TV,6,949.3487181541234
POS-00115,2023-11-29,Butwal-Chowk,Traffic Chowk E,Smart-Hub,8,556.2822989678223
POS-00116,2023-07-16,Kathmandu-DurbarMarg,King's Way 101,4K-TV,7,145.3088787377812
POS-00117,2023-03-01,Pokhara-Lakeside,Baidam Street 6,Drone-HD,9,1083.0053858694598
POS-00118,2023-09-14,Pokhara-Lakeside,Baidam Street 6,VR-Headset,7,2280.484985657437
POS-00119,2023-04-02,Butwal-Chowk,Traffic Chowk E,4K-TV,9,1116.170707243872
POS-00120,2023-12-21,Biratnagar-Main,Hospital Rd,Drone-HD,3,837.4859066676923
POS-00121,2023-01-12,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,9,2453.2060501220153
POS-00122,2023-02-22,Butwal-Chowk,Traffic Chowk E,Drone-HD,6,871.3349944395845
POS-00123,2023-09-21,Lalitpur-Patan,Pulchowk Rd,VR-Headset,5,4453.963023384627
POS-00124,2023-08-27,Biratnagar-Main,Hospital Rd,4K-TV,5,2541.144972135902
POS-00125,2023-12-01,Biratnagar-Main,Hospital Rd,4K-TV,8,3178.610413578712
POS-00126,2023-03-15,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,1,4170.118580129327
POS-00127,2023-08-15,Pokhara-Lakeside,Baidam Street 6,4K-TV,7,4446.0177562067
POS-00128,2023-04-02,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,9,749.36950086125
POS-00129,2023-07-22,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,9,941.1704175569441
POS-00130,2023-05-05,Kathmandu-DurbarMarg,King's Way 101,4K-TV,7,2049.315242576728
POS-00131,2023-03-24,Pokhara-Lakeside,Baidam Street 6,Gaming-Console,4,841.7134155698634
POS-00132,2023-08-06,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,4,1476.144454063513
POS-00133,2023-05-23,Biratnagar-Main,Hospital Rd,Smart-Hub,1,579.4000797867925
POS-00134,2023-06-27,Biratnagar-Main,Hospital Rd,Gaming-Console,2,2183.928443469888
POS-00135,2023-08-28,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,5,336.03491464643787
POS-00136,2023-12-26,Biratnagar-Main,Hospital Rd,VR-Headset,8,3499.9323892234274
POS-00137,2023-05-24,Biratnagar-Main,Hospital Rd,VR-Headset,8,548.8315361024152
POS-00138,2023-04-11,Lalitpur-Patan,Pulchowk Rd,Drone-HD,3,757.901672453774
POS-00139,2023-02-26,Lalitpur-Patan,Pulchowk Rd,VR-Headset,4,4952.257977291221
POS-00140,2023-02-12,Butwal-Chowk,Traffic Chowk E,4K-TV,8,2029.2492955726002
POS-00141,2023-02-16,Pokhara-Lakeside,Baidam Street 6,VR-Headset,5,276.15113979300446
POS-00142,2023-04-21,Biratnagar-Main,Hospital Rd,VR-Headset,8,825.6455020374053
POS-00143,2023-10-20,Lalitpur-Patan,Pulchowk Rd,VR-Headset,7,729.1113527777042
POS-00144,2023-03-14,Pokhara-Lakeside,Baidam Street 6,Drone-HD,7,4595.040938940933
POS-00145,2023-11-08,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,2,2423.0948640761303
POS-00146,2023-02-10,Lalitpur-Patan,Pulchowk Rd,Drone-HD,6,2566.7741070232014
POS-00147,2023-09-25,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,9,4387.919188130941
POS-00148,2023-10-31,Pokhara-Lakeside,Baidam Street 6,Drone-HD,8,-92.34767365679897
POS-00149,2023-07-21,Lalitpur-Patan,Pulchowk Rd,4K-TV,8,4285.946454352631
POS-00150,2023-10-22,Biratnagar-Main,Hospital Rd,Solar-Battery,8,9.819659415795357
POS-00151,2023-11-25,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,9,1161.04110991248
POS-00152,2023-07-26,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,1,3464.11664700571
POS-00153,2023-11-25,Pokhara-Lakeside,Baidam Street 6,Drone-HD,1,1375.1512825637847
POS-00154,2023-07-07,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,5,4200.275158249283
POS-00155,2023-02-07,Butwal-Chowk,Traffic Chowk E,Smart-Hub,1,4877.990448460559
POS-00156,2023-10-01,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,4,4804.974439689143
POS-00157,2023-10-27,Butwal-Chowk,Traffic Chowk E,Gaming-Console,6,4661.686177737663
POS-00158,2023-01-28,Biratnagar-Main,Hospital Rd,VR-Headset,7,1692.3841655996916
POS-00159,2023-11-23,Biratnagar-Main,Hospital Rd,Gaming-Console,5,2107.0401244483182
POS-00160,2023-12-14,Biratnagar-Main,Hospital Rd,Smart-Hub,4,623.9316334668354
POS-00161,2023-10-18,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,2,2934.0775529606058
POS-00162,2023-01-09,Pokhara-Lakeside,Baidam Street 6,VR-Headset,1,3913.347198519502
POS-00163,2023-08-31,Butwal-Chowk,Traffic Chowk E,Smart-Hub,7,2722.548764848122
POS-00164,2023-02-27,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,5,2479.8435257314454
POS-00165,2023-07-07,Biratnagar-Main,Hospital Rd,Solar-Battery,8,1237.8036927867247
POS-00166,2023-09-04,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,6,2119.664865338444
POS-00167,2023-02-05,Pokhara-Lakeside,Baidam Street 6,4K-TV,5,4665.092979076718
POS-00168,2023-01-29,Pokhara-Lakeside,Baidam Street 6,4K-TV,1,4305.931949723904
POS-00169,2023-01-23,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,4,4986.723543230329
POS-00170,2023-09-14,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,7,4400.412267320955
POS-00171,2023-09-02,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,3,2851.989739927176
POS-00172,2023-01-01,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,9,3386.6394712403553
POS-00173,2023-04-11,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,9,852.7479932131959
POS-00174,2023-05-23,Pokhara-Lakeside,Baidam Street 6,Drone-HD,7,3022.185788982609
POS-00175,2023-07-14,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,5,1556.1744116849795
POS-00176,2023-12-11,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,8,920.7942807039624
POS-00177,2023-06-21,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,5,3267.873349269951
POS-00178,2023-09-08,Biratnagar-Main,Hospital Rd,Drone-HD,6,4465.72277792169
POS-00179,2023-03-19,Biratnagar-Main,Hospital Rd,4K-TV,4,3814.0870932182615
POS-00180,2023-10-11,Lalitpur-Patan,Pulchowk Rd,VR-Headset,5,3531.8155586285875
POS-00181,2023-09-28,Lalitpur-Patan,Pulchowk Rd,Drone-HD,2,498.9456728581464
POS-00182,2023-03-31,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,2,1110.1767170060084
POS-00183,2023-03-01,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,1,4551.7005196105565
POS-00184,2023-05-22,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,4,2471.8416043313623
POS-00185,2023-04-10,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,9,4547.446652683643
POS-00186,2023-07-28,Butwal-Chowk,Traffic Chowk E,Smart-Hub,2,3413.6085758346467
POS-00187,2023-09-29,Pokhara-Lakeside,Baidam Street 6,VR-Headset,3,4681.969248713392
POS-00188,2023-06-10,Biratnagar-Main,Hospital Rd,Smart-Hub,8,2095.580901740561
POS-00189,2023-03-18,Butwal-Chowk,Traffic Chowk E,Solar-Battery,1,1197.923244239481
POS-00190,2023-05-04,Kathmandu-DurbarMarg,King's Way 101,4K-TV,8,785.0080251022189
POS-00191,2023-10-23,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,2,2370.7330077647302
POS-00192,2023-03-03,Biratnagar-Main,Hospital Rd,Smart-Hub,2,4317.6927053533345
POS-00193,2023-08-10,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,3,4591.8525127076955
POS-00194,2023-04-02,Butwal-Chowk,Traffic Chowk E,Solar-Battery,5,2841.005340543853
POS-00195,2023-03-07,Biratnagar-Main,Hospital Rd,Solar-Battery,8,2316.3330149730637
POS-00196,2023-06-04,Lalitpur-Patan,Pulchowk Rd,VR-Headset,1,4961.568654222318
POS-00197,2023-05-13,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,2,3325.6205170437274
POS-00198,2023-02-01,Butwal-Chowk,Traffic Chowk E,Gaming-Console,7,3668.868507438921
POS-00199,2023-09-12,Butwal-Chowk,Traffic Chowk E,Gaming-Console,7,4814.429694207096
POS-00200,2023-01-28,Pokhara-Lakeside,Baidam Street 6,Drone-HD,1,2105.9222662223106
POS-00201,2023-07-27,Biratnagar-Main,Hospital Rd,Drone-HD,6,1903.8590570915674
POS-00202,2023-08-21,Pokhara-Lakeside,Baidam Street 6,VR-Headset,1,3915.7144897650705
POS-00203,2023-06-01,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,5,3099.5860108605775
POS-00204,2023-01-21,Kathmandu-DurbarMarg,King's Way 101,4K-TV,7,2900.247624979316
POS-00205,2023-06-23,Biratnagar-Main,Hospital Rd,Drone-HD,1,4925.388592100789
POS-00206,2023-08-24,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,3,1050.1482682939832
POS-00207,2023-11-28,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,9,84.21427050845668
POS-00208,2023-11-12,Biratnagar-Main,Hospital Rd,Gaming-Console,6,550.3418472712201
POS-00209,2023-09-01,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,3,206.36117313732166
POS-00210,2023-12-11,Lalitpur-Patan,Pulchowk Rd,4K-TV,5,4302.5391774647605
POS-00211,2023-12-01,Biratnagar-Main,Hospital Rd,VR-Headset,6,1349.5734134661434
POS-00212,2023-08-24,Biratnagar-Main,Hospital Rd,Gaming-Console,3,4788.723944107078
POS-00213,2023-10-27,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,7,2161.6203228749055
POS-00214,2023-03-15,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,1,4891.483576607656
POS-00215,2023-03-15,Butwal-Chowk,Traffic Chowk E,Drone-HD,4,3341.337314779028
POS-00216,2023-01-02,Pokhara-Lakeside,Baidam Street 6,VR-Headset,3,4483.403572230347
POS-00217,2023-01-06,Butwal-Chowk,Traffic Chowk E,VR-Headset,7,2900.154665064942
POS-00218,2023-05-15,Kathmandu-DurbarMarg,King's Way 101,4K-TV,5,3059.1193707970087
POS-00219,2023-07-18,Butwal-Chowk,Traffic Chowk E,Smart-Hub,8,453.58684845553887
POS-00220,2023-06-25,Butwal-Chowk,Traffic Chowk E,VR-Headset,9,48.01690413604561
POS-00221,2023-08-31,Pokhara-Lakeside,Baidam Street 6,4K-TV,9,572.2538607221221
POS-00222,2023-08-25,Butwal-Chowk,Traffic Chowk E,4K-TV,7,2564.2194371611085
POS-00223,2023-07-26,Kathmandu-DurbarMarg,King's Way 101,Smart-Hub,7,2543.822717185345
POS-00224,2023-01-28,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,5,3220.066643859027
POS-00225,2023-12-08,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,2,812.4745339166952
POS-00226,2023-12-22,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,1,2420.188695353157
POS-00227,2023-12-20,Butwal-Chowk,Traffic Chowk E,Smart-Hub,4,2490.335937791782
POS-00228,2023-10-13,Pokhara-Lakeside,Baidam Street 6,Drone-HD,1,2760.9055467485427
POS-00229,2023-03-22,Lalitpur-Patan,Pulchowk Rd,4K-TV,9,4872.820461520256
POS-00230,2023-10-01,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,5,-21.79558862207034
POS-00231,2023-06-29,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,2,684.0224473679989
POS-00232,2023-12-10,Biratnagar-Main,Hospital Rd,Smart-Hub,4,1500.1049653085825
POS-00233,2023-06-05,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,6,3793.1896532205346
POS-00234,2023-06-16,Kathmandu-DurbarMarg,King's Way 101,4K-TV,2,3305.1179094936856
POS-00235,2023-06-13,Pokhara-Lakeside,Baidam Street 6,VR-Headset,3,187.74072446339466
POS-00236,2023-08-03,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,6,3312.1422805601514
POS-00237,2023-11-28,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,1,2760.2419831252278
POS-00238,2023-12-01,Butwal-Chowk,Traffic Chowk E,Gaming-Console,4,901.3740884919522
POS-00239,2023-12-06,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,8,1326.4169357832823
POS-00240,2023-10-10,Lalitpur-Patan,Pulchowk Rd,VR-Headset,6,3913.0453362227386
POS-00241,2023-08-12,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,7,2857.493201545516
POS-00242,2023-06-14,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,5,2396.1328261725203
POS-00243,2023-01-17,Kathmandu-DurbarMarg,King's Way 101,Gaming-Console,1,4631.063043154676
POS-00244,2023-11-15,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,1,3761.6045549385967
POS-00245,2023-02-24,Pokhara-Lakeside,Baidam Street 6,Drone-HD,2,427.0903076980113
POS-00246,2023-09-01,Biratnagar-Main,Hospital Rd,4K-TV,8,3832.4089697639097
POS-00247,2023-07-14,Biratnagar-Main,Hospital Rd,Smart-Hub,1,387.8848727375541
POS-00248,2023-01-30,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,8,965.317360416361
POS-00249,2023-01-19,Pokhara-Lakeside,Baidam Street 6,Drone-HD,9,3780.523439501178
POS-00250,2023-12-07,Kathmandu-DurbarMarg,King's Way 101,4K-TV,3,4693.312858968506
POS-00251,2023-10-11,Butwal-Chowk,Traffic Chowk E,VR-Headset,8,4000.626048688576
POS-00252,2023-06-05,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,7,3493.4835316002996
POS-00253,2023-02-03,Kathmandu-DurbarMarg,King's Way 101,Solar-Battery,2,4670.100218451105
POS-00254,2023-02-16,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,6,2948.3095673444222
POS-00255,2023-01-26,Kathmandu-DurbarMarg,King's Way 101,VR-Headset,8,1077.6484539283936
POS-00256,2023-08-06,Butwal-Chowk,Traffic Chowk E,4K-TV,6,4938.24658382267
POS-00257,2023-10-03,Lalitpur-Patan,Pulchowk Rd,Gaming-Console,4,627.9865666744546
POS-00258,2023-10-20,Butwal-Chowk,Traffic Chowk E,Gaming-Console,9,1581.4685599485256
POS-00259,2023-05-18,Butwal-Chowk,Traffic Chowk E,4K-TV,4,1202.272265464502
POS-00260,2023-01-21,Butwal-Chowk,Traffic Chowk E,4K-TV,4,2140.621499339053
POS-00261,2023-10-06,Pokhara-Lakeside,Baidam Street 6,4K-TV,5,3685.6518666187744
POS-00262,2023-12-13,Kathmandu-DurbarMarg,King's Way 101,Drone-HD,4,483.9481490941515
POS-00263,2023-10-09,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,2,837.2319467835352
POS-00264,2023-04-25,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,4,-76.32725976983487
POS-00265,2023-01-21,Kathmandu-DurbarMarg,King's Way 101,4K-TV,1,4409.349810801802
POS-00266,2023-11-18,Lalitpur-Patan,Pulchowk Rd,Drone-HD,5,2344.808690196417
POS-00267,2023-09-17,Lalitpur-Patan,Pulchowk Rd,Drone-HD,9,2604.486809881206
POS-00268,2023-05-13,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,1,3601.590016665209
POS-00269,2023-07-15,Biratnagar-Main,Hospital Rd,VR-Headset,8,4179.558690255283
POS-00270,2023-12-12,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,8,4301.731811516473
POS-00271,2023-09-30,Biratnagar-Main,Hospital Rd,Solar-Battery,7,-19.657179104437944
